"parliamentarian_id","interest_categories_id","title"
542,1,"Profi-Lait, Lindau"
806,1,"Hochstamm Suisse, Basel"
806,4,"Alliance F, Schweizerischer Frauenbund"
806,8,"Stiftung Basel-Olsberg für Menschen mit einer Behinderung"
806,8,"Swissaid, Bern"
806,20,"Schweizerische Greina-Stiftung (SGS) zur Erhaltung der alpinen Fliessgewässer, Zürich"
806,20,"Nordwestschw. Aktionskomittee gegen Atomkraftwerke (NWA), Basel"
806,21,"Schweizerische Arbeitsgruppe Gentechnologie (SAG), Zürich"
820,1,"Zürcher Bauernverband, Dübendorf"
820,11,"LED Licht GmbH, Otelfingen"
820,12,"Elektrizitätswerke des Kantons Zürich"
1065,8,"Fondation Suisse du Service Social International (SSI), Genève"
1065,22,"Pro Mente Sana, Genève"
1071,4,"Comparis.ch AG, Zürich"
1071,7,"CONCORDIA Versicherungen AG"
1071,7,"CONCORDIA Schweizerische Kranken- und Unfallversicherung"
1071,7,"CONCORDIA Beteiligungen AG"
1071,7,"Stiftung Kranken- und Unfallkasse Konkordia"
1071,7,"CONCORDIA Schweizerische Kranken- und Unfallversicherung AG, Luzern"
1071,8,"Pro Senectute Kanton Aargau (Stiftungsversammlung)"
1071,8,"Stiftung Alterszentrum Lindenhof, Oftringen"
1071,10,"Stiftung OL-Schweiz"
1071,10,"Stiftung VITA Parcours, Zürich"
1071,21,"Schweizerische Stiftung für Klinische Krebsforschung, Bern"
1071,21,"IG biomedizinische Forschung und Innovation"
1071,21,"IG Seltene Krankheiten"
1071,22,"Schweizerische Diabetes-Gesellschaft (SDG)"
1071,22,"Klinik Villa im Park, Rothrist"
1071,22,"RehaClinic AG, Bad Zurzach"
1071,22,"Stiftung Schweizerische Akademie für Chiropraktik, Bern"
1071,22,"Theraplus, Stiftung für Therapiebegleitung, Fislisbach"
1103,3,"Schweizerische Mobiliar, Bern"
1103,3,"Stiftung ""Ombudsman der Privatversicherung und der SUVA"""
1103,5,"Gabi Huber Rechtsanwaltbüro"
1103,8,"Limmat Stiftung, Zürich"
1103,11,"PricewaterhouseCoopers AG, Zürich"
1103,14,"Hochschule für Technik und Architektur, Luzern"
1103,15,"Dätwyler Holding AG, Altdorf"
1103,18,"Schweizer Berghilfe, Adliswil"
1103,22,"Schweizerische Rettungsflugwacht (Rega), Kloten"
1104,1,"Schweizerische Hagel-Versicherungs-Gesellschaft, Zürich"
1104,1,"Landi Linth Genossenschaft, Schänis"
1104,1,"LV-St. Gallen (Landverband SG)"
1104,10,"Genossenschaft Einwohner und Freunde des Weisstannentals"
1104,10,"St. Gallischer Kantonalschützenverband"
1104,16,"Interessenverband Schweizer-Kleinkraftwerk-Besitzer"
1108,1,"Fenaco, fédération de coopératives agricoles, Berne"
1108,1,"Société d'agriculture et de laiterie de Bursins-Vinzel, Bursins"
1108,2,"Association du Centre Patronal, Paudex"
1108,2,"Fédération Patronale Vaudoise"
1108,3,"Etablissement d'assurance contre l'incendie et le éléments naturels (ECA) du Canton de Vaud"
1108,21,"Gen-Suisse - Fondation suisse pour un génie génétique responsable, Berne"
1108,21,"IG biomedizinische Forschung und Innovation"
1109,2,"Arbeitsgemeinschaft für Wirtschaft und Gesellschaft (AWG) Schweiz"
1109,4,"Katholische Arbeitsgemeinschaft für Erwachsenenbildung (KAGEB), Luzern"
1109,6,"Elementa Group AG, Zug"
1109,8,"Winterhilfe Zug"
1109,8,"Zürcher Sprachheilschule, Unterägeri"
1109,8,"Jerusalem Foundation Switzerland, Zürich"
1109,10,"Pro Libro, Luzern"
1109,10,"re-connected, Zug"
1109,11,"KLV Verlag AG, Mörschwil"
1109,14,"Institut Dr. Pfister AG, Oberägeri"
1109,14,"Institut Montana Zugerberg AG, Zug"
1109,14,"Pfister & Netzwerk, Zug"
1109,14,"Private Bildung Schweiz (PBS), Bern"
1109,14,"Stiftung für hochbegabte Kinder, Zürich"
1109,14,"Tagesschule Elementa AG, Neuheim"
1109,14,"Verband der Schweizerischen Privatschulen (VSP), Bern"
1109,15,"Alfred Müller Stiftung, Baar"
1109,15,"Gütsch Immobilien AG, Oberägeri"
1109,15,"TSE Real Estate AG, Zug"
1109,11,"PS Group Gmbh, Oberägeri"
1109,21,"Gen Suisse - Schweizerische Stiftung für eine verantwortungsvolle Gentechnik, Bern"
1109,22,"Klinik Adelheid AG, Unterägeri"
1109,24,"Ägerisee Schifffahrt AG, Oberägeri"
1110,4,"Gesellschaft Schweiz - Islamische Welt, Zürich"
1110,8,"Gesellschaft Schweiz - Palästina, Basel"
1110,14,"Schulkommission EB Zürich (Kantonale Berufsschule für Erwachsenausbildung)"
1110,21,"Kantonale Ethikkommission Zürich (KEK ZH)"
1110,23,"VPOD - Luftverkehr, Glattbrugg"
1111,2,"Schweizer Stiftung für Oberflächentechnik (SSO), Bern"
1111,2,"Gewerbeverein Emmenbrücke"
1111,2,"Info-Club für freies Unternehmertum (IFU), Luzern"
1111,4,"Schutzverband der Bevölkerung um den Flugplatz Emmen (SFE), Emmenbrücke"
1111,4,"Vereinigung Sifa, ""Sicherheit für alle"", Flaach"
1111,8,"Schweizerische Alzheimervereinigung Sektion Luzern"
1111,8,"Pro Senectute Kanton Luzern (Stiftungsversammlung)"
1111,10,"IG Supermoto Emmen"
1111,10,"Sport Club 86, Rothenburg"
1111,10,"Sport Club 89, Emmenbrücke"
1111,19,"SVP Kanton Luzern"
1111,22,"Organisation der Arbeitswelt Medizinischer Masseure (OdA MM), Sursee"
1112,4,"International Parlamentary Netgroup of the World Bank PNoWB, Paris"
1112,8,"Living Education, Baden"
1112,8,"Solarstrom für Tschad, Baden"
1112,9,"Wohnbaustiftung der Stadt Baden"
1112,10,"Gibellina-Arts AG, Baden"
1112,10,"Josef und Margrit Killer-Schmidli Stiftung, Baden"
1112,10,"Marlis und Hans Peter Wüthrich-Mäder-Stiftung"
1112,12,"Schweizerische Energie-Stiftung, Zürich"
1112,12,"Regionalwerke Holding AG, Baden"
1112,14,"Beratungsdienste für Ausbildung und Beruf Aargau"
1112,14,"Stiftung Karl Braun, Ennetbaden"
1112,16,"Berufsfachschule Baden BBB"
1117,1,"Agroscope, Stations fédérales de recherche agronomique"
1117,1,"Doviva SA - Cofigo SA (Entreprise viticole), Vétroz"
1117,1,"Jean-René Germanier Vins Vétroz"
1117,1,"Seba Aproz SA (Eaux minérales), Nendaz"
1117,1,"SWISSCOFEL, Berne"
1117,9,"CSC entreprise de constructions SA"
1117,11,"Fédération des coopératives Migros, Zurich"
1117,16,"Veuthey & Cie Martigny SA, Martigny"
1117,20,"Fondation Rétropomme, Corcelles-Cormondrèche"
1117,21,"Fondation de l'Institut de Recherche Idiap, Martigny"
1117,25,"OUESTRAIL, Delémont"
1119,1,"Despond SA, Bulle"
1119,1,"Industrie du bois Suisse"
1119,2,"Association des sociétés anonymes privées"
1119,2,"Union suisse des arts et métiers (usam)"
1119,3,"Mobilière Suisse, Berne"
1119,4,"Cercle de travail pour la sécurité et les technologies de defense"
1119,11,"AP Architecture Paysagère SA, Bulle"
1119,11,"Fondation PME suisse"
1119,25,"ASTAG Association suisse des transports routiers, Berne"
1119,25,"Sagérime SA, Bulle"
1120,4,"Association suisse de défense des locataires (ASLOCA-Genève), Genève"
1120,4,"Association suisse de défense des locataires (ASLOCA-Romande), Lausanne"
1120,4,"Association suisse de défense des locataires (ASLOCA-Suisse), Berne"
1120,4,"Fondation de la Cité Universitaire de Genève, Genève"
1120,8,"Commission consultative de la coopération internationale au développement"
1120,8,"Swissaid, Berne"
1120,10,"Istituto Svizzero di Roma (ISR)"
1122,6,"Regiobank Solothurn"
1122,6,"Soleika AG, Solothurn"
1122,8,"Alterszentrum Wengistein, Solothurn"
1122,8,"Prof. Dr. Arnold u. Johanna Kaufmann-Anderegg-Stiftung, Solothurn"
1122,9,"Wohnen Schweiz"
1122,10,"Bibliomedia Schweiz, Bern"
1122,10,"Bill de Vigier Stiftung, Solothurn"
1122,10,"Dr. Wilhelm von Vigier Stiftung, Solothurn"
1122,10,"Dübi-Müller-Stiftung, Solothurn"
1122,10,"Forum Stadt - Netzwerk historischer Städte"
1122,10,"Freunde Museum Altes Zeughaus"
1122,10,"Josef Müller-Stiftung, Solothurn"
1122,10,"Kosciuszko-Gesellschaft"
1122,10,"Max Gubler-Stiftung, Solothurn"
1122,10,"Stiftung Zentralbibliothek, Solothurn"
1122,12,"Regio Energie Solothurn, Solothurn"
1122,12,"Strategiegruppe Energie Schweiz"
1122,14,"Genossenschaft Regiomech, Zuchwil"
1122,16,"Stiftung FZZ zur Förderung des ZeitZentrums in Grenchen, Solothurn"
1122,18,"Schweizerische Vereinigung für Landesplanung"
1122,18,"REPLA Solothurn und Umgebung"
1122,18,"Tripartite Agglomerationskonferenz"
1122,18,"Schweizerischer Städteverband"
1122,18,"Verband Solothurner Einwohnergemeinden"
1122,19,"Liberale Aktion, Zürich"
1122,20,"Pro Natura Solothurn"
1122,20,"Stiftung Landschaftsschutz Schweiz (SL)"
1122,20,"Stiftung Robert und Marcelle Strüby-Fertig, Solothurn"
1122,22,"Hauptstadt Region Schweiz"
1122,24,"Bielersee Schifffahrtsgesellschaft, Biel"
1122,25,"Aare Seeland mobil AG, Langenthal"
1122,25,"Regionalverkehr Bern-Solothurn, Worblaufen"
1122,25,"Informationsdienst für den öffentlichen Verkehr (LITRA), Bern"
1123,1,"Schweizerische Hagel-Versicherungs-Gesellschaft Genossenschaft"
1123,1,"Groupe Minoteries SA, Granges"
1123,1,"Moulin de Granges SA, Granges-Marnand"
1123,1,"Moulin de Sion SA, Sion"
1123,1,"Salines de Bex SA, Bex"
1123,1,"Société coopérative d'alpage de Bex"
1123,6,"Le Cové SA, Bex"
1123,8,"Fondation la Monneresse, Aigle"
1123,21,"Fondation pour la recherche sur les maladies héréditaires, Lausanne"
1123,25,"Grandjean Transport SA, La Chaux-de-Fonds"
1123,25,"MOB SA, Montreux"
1123,25,"PESA Port-franc SA, Chavornay"
1124,10,"Amis du Papiliorama, Kerzers"
1124,10,"Bibliomédia"
1124,10,"Fondation Emmanuel de Vevey"
1124,10,"HELVETIA LATINA, Berne"
1124,10,"Bains de la Motta SA, Fribourg"
1124,12,"Biomasse Suisse"
1124,24,"Fédération suisse du tourisme, Berne"
1124,24,"Remontées Mécaniques Suisses (RMS), Berne"
