"parliamentarian_id","bill_id","political_action_categories_id"
3901,"14.3223",19
3902,"11.4080",2
3902,"12.3455",20
3902,"12.3455",21
3902,"13.3097",2
3902,"13.3127",16
3902,"13.3978",16
3902,"14.3022",16
3904,"12.3266",4
3904,"12.3266",10
3904,"12.3476",16
3904,"12.3871",10
3904,"12.3871",16
3904,"12.4161",2
3904,"12.4161",20
3904,"12.4233",2
3904,"12.4233",10
3904,"12.4234",2
3904,"12.4234",10
3904,"13.3154",10
3904,"13.3250",10
3904,"13.3250",11
3904,"13.3745",10
3904,"14.3127",4
3904,"14.3138",12
3904,"14.3138",16
3904,"14.3162",5
3904,"14.3162",10
3904,"14.4099",9
3904,"14.4101",4
3904,"15.3023",12
3904,"15.3023",14
3904,"15.3140",4
3904,"15.3140",8
3904,"15.3140",12
3907,"11.4204",4
3907,"11.4204",7
3907,"12.3893",7
3907,"13.3527",4
3907,"14.4217",1
3907,"14.4217",10
3908,"12.3285",4
3908,"12.3285",7
3908,"12.3503",4
3908,"13.3513",4
3908,"13.3513",9
3908,"13.3903",6
3908,"13.3904",6
3908,"13.3904",9
3908,"13.3905",19
3908,"13.3906",19
3908,"13.4273",4
3908,"14.3258",10
3910,"11.4157",1
3910,"11.4158",4
3910,"11.4158",7
3910,"12.3234",1
3910,"12.3237",1
3910,"12.3238",1
3910,"12.3238",6
3910,"12.3238",7
3910,"12.3591",21
3910,"12.3592",1
3910,"12.3595",1
3910,"12.3595",21
3910,"12.3877",1
3910,"12.4148",1
3910,"12.4148",6
3910,"13.3221",1
3910,"13.3536",10
3910,"13.3569",16
3910,"13.3569",20
3910,"13.4201",1
3910,"13.4201",7
3910,"13.4202",1
3910,"13.4203",1
3910,"13.4203",7
3910,"14.3539",10
3910,"14.3540",1
3910,"14.3541",10
3910,"14.3542",1
3910,"14.3542",4
3910,"14.3543",10
3910,"14.3546",1
3910,"14.3546",7
3910,"14.3823",3
3910,"14.3823",14
3910,"14.3826",3
3910,"14.3826",14
3910,"14.3894",1
3910,"14.3899",1
3910,"14.3900",4
3910,"15.3285",4
3910,"15.3285",21
3911,"11.4155",16
3911,"11.4155",19
3911,"12.3621",19
3912,"12.3155",4
3912,"12.3776",16
3912,"12.3776",21
3912,"12.4081",6
3912,"13.3486",4
3912,"13.3607",21
3912,"14.3563",2
3912,"14.3563",4
3923,"12.3060",10
3923,"12.3060",11
3923,"12.3061",10
